"id","ranking","song_name","time","singer","style"
"502","102","星河万里","03:32","Rom邢锐","流行"
"503","103","最佳损友","03:53","陈奕迅","民谣"
"504","104","过","03:23","王嘉尔/林俊杰","古风"
"505","105","麻雀","04:12","李荣浩","摇滚"
"506","106","我都明白 - (《追尾》官方主题曲)","04:09","范倪Liu","轻音乐"
"507","107","白羊","02:48","徐秉龙/沈以诚","民谣"
"508","108","天上的星星不说话·2022","03:39","KOZAY/不是花火呀","古风"
"509","109","瞄准","02:58","邓典","摇滚"
"510","110","不将就 - (电影《何以笙箫默》片尾主题曲)","05:12","李荣浩","说唱"
"511","111","red lips（被我蒙对）","03:28","沙一汀EL","R&B"
"512","112","再等冬天(Memories)","02:48","h3R3","流行"
"513","113","22秒","02:51","Aioz","说唱"
"514","114","独行侠+爱如潮水（remix）","03:38","sea蕊/吴炳文Cookie","说唱"
"515","115","In The Shadow Of The Sun","03:56","Professor Green","说唱"
"516","116","靠近 (Live)","04:18","袁娅维TIA RAY","爵士"
"517","117","追寻你","03:15","王天戈/川青","电子"
"518","118","月亮之矢","03:54","孤矢/虞娱","电子"
"519","119","先说谎的人","02:48","h3R3","流行"
"520","120","嗜好","04:44","颜人中","古风"
"521","121","悬溺","03:17","葛东琪","说唱"
"522","122","雨爱 - (雨上晴空)","03:54","不是花火呀","R&B"
"523","123","呓语","04:31","毛不易","摇滚"
"524","124","告白 - (原唱 : 王欣宇)","04:10","沈以诚","说唱"
"525","125","云烟成雨 - (动画《我是江小白》片尾曲)","04:00","房东的猫","电子"
"526","126","匿名的好友 - (不能握的手)","03:16","小包Zerinn","说唱"
"527","127","蝴蝶泉边 - (吉他版)","02:43","Bell玲惠","流行"
"528","128","美人鱼","04:14","林俊杰","说唱"
"529","129","他不懂","03:52","张杰","民谣"
"530","130","漠河舞厅","05:34","柳爽","摇滚"
"531","131","路过人间","04:48","郁可唯","古风"
"532","132","会不会（吉他版）","03:54","刘大壮","爵士"
"533","133","今年一定带你去看海","05:28","Peace Hotel(和平饭店)","轻音乐"
"534","134","必杀技 - (温柔版)","03:32","Ecrolyn","说唱"
"535","135","梦醒","03:29","handsome lau/HYPEEZY/冯泳","民谣"
"536","136","我以为你不会出现","05:46","告五人","摇滚"
"537","137","如果呢","04:17","郑润泽","说唱"
"538","138","Fight","03:04","BeatBrothers","流行"
"539","139","Unstoppable","03:37","Sia","电子"
"540","140","收敛","03:24","不够","R&B"
"541","141","多情种","03:34","要不要买菜","摇滚"
"542","142","我要找到你","03:03","Zic子晨","说唱"
"543","143","Head In The Clouds","03:04","Hayd","摇滚"
"544","144","你的答案","03:39","阿冗","爵士"
"545","145","账号已注销","03:42","太一","民谣"
"546","146","所以你睡了没","02:34","沙一汀EL","轻音乐"
"547","147","黑乌鸦和少女","03:48","裘德","古风"
"548","148","忘记时间 - (热搜版)","04:10","Chanlex","轻音乐"
"549","149","你是人间四月天","03:42","邵帅","流行"
"550","150","回到夏天 - (我多想回到那个夏天)","04:01","傲七爷/小田音乐社","轻音乐"
"551","151","虞兮叹","03:30","闻人听書_","摇滚"
"552","152","Mood","02:20","24kGoldn/iann dior","电子"
"553","153","沈园外","03:43","阿YueYue/戾格/小田音乐社","电子"
"554","154","放空","02:30","大籽/Lil E/A1 TRIP","R&B"
"555","155","神魂颠倒","02:48","邓典","摇滚"
"556","156","一样的月光","04:00","徐佳莹","摇滚"
"557","157","富士山下","04:19","陈奕迅","摇滚"
"558","158","是想你的声音啊 - (你快听 滴答滴)","03:54","傲七爷","摇滚"
"559","159","多想在平庸的生活拥抱你","04:29","隔壁老樊","摇滚"
"560","160","偏爱和例外","02:50","烟(许佳豪)","摇滚"
"561","161","最后一页（完整版） - (爱只能在回忆里完整)","03:41","洛尘鞅_","流行"
"562","162","狐狸的童话 - (冬天的记忆小巷里面吹过晚风)","02:36","Santa_SA/马也_Crabbit","古风"
"563","163","Lemon - (电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌)","04:16","米津玄師","摇滚"
"564","164","秋天不回来 ","04:04","刘大壮","民谣"
"565","165","M八七 - (电影《新·奥特曼》主题曲)","04:23","米津玄師","R&B"
"566","166","我好像在哪见过你 - (动画电影《精灵王座》主题曲)","04:39","薛之谦","R&B"
"567","167","南半球与北海道","03:29","范倪Liu","流行"
"568","168","保留","04:30","郭顶","R&B"
"569","169","年少有为","04:38","李荣浩","电子"
"570","170","再见","03:26","G.E.M.邓紫棋","摇滚"
"571","171","Something Just Like This","04:07","The Chainsmokers/Coldplay","古风"
"572","172","麻醉师","04:00","胡睿","爵士"
"573","173","心跳的证明 - (心动有声)","03:48","不是花火呀","爵士"
"574","174","忘记时间 - (电视剧《仙剑奇侠传三》片尾曲)","04:32","胡歌","电子"
"575","175","以爱为囚 - (《Возьми сердце моё》中文版)","01:58","满舒克","轻音乐"
"576","176","Enemy (from the series Arcane League of Legends) - (动画剧集《英雄联盟：双城之战》全球主题曲)","02:53","Imagine Dragons/JID/英雄联盟/Arcane","古风"
"577","177","不得不爱","02:57","Lambert","爵士"
"578","178","给你给我","04:01","毛不易","民谣"
"579","179","流浪 - (Stray)","03:15","江辰","轻音乐"
"580","180","最佳损友 (Live)","04:02","李克勤/毛不易","摇滚"
"581","181","夏夜灯塔 - (小说《某某》官方主题曲)","03:49","沈以诚","民谣"
"582","182","最美的瞬间","04:27","真瑞","流行"
"583","183","Temple","04:55","Zerky/Liu","爵士"
"584","184","再见莫妮卡 - (再见Monica)","03:00","彭席彦/Franky弗兰奇","说唱"
"585","185","芬里尔","03:11","那奇沃夫","摇滚"
"586","186","Peaches","03:18","Justin Bieber/Daniel Caesar/Giveon","轻音乐"
"587","187","Watch Me Work","04:29","Tinashe","流行"
"588","188","星星在唱歌 - (网易云音乐2020听歌报告主题曲)","05:48","司南","说唱"
"589","189","Princess - (我的女孩)","02:31","XMASwu","古风"
"590","190","红色高跟鞋 - (电影《爱情呼叫转移2》主题曲)","03:26","蔡健雅","民谣"
"591","191","国王与乞丐","04:05","华晨宇/杨宗纬","轻音乐"
"592","192","哪里都是你2.0","03:57","队长","流行"
"593","193","慢慢喜欢你 - (Growing Fond of You)","03:41","莫文蔚","轻音乐"
"594","194","洛杉矶","02:42","LBI利比","R&B"
"595","195","红豆","03:24","要不要买菜","民谣"
"596","196","盗墓笔记·十年人间 - (八一七稻米节主题推广曲)","04:37","李常超 (Lao乾妈)","电子"
"597","197","如果爱忘了 - (完整版)","03:15","要不要买菜","电子"
"598","198","Infinity","03:57","Jaymes Young","古风"
"599","199","茫","03:47","李润祺","电子"
"600","200","Truthfully","04:03","A1 TRIP/Dobi","电子"
